ภาค,จังหวัด,รายการ,รายการย่อย,ประเภทผู้เยี่ยมเยือน,2554,2555,2556,2557,2558,2559,2560,2561,2562,2563,2564,2565
,,รายได้การท่องเที่ยว (ล้านบาท),ผู้เยี่ยมเยือน,รวม,"  2,263.70 ","  3,451.66 ","  3,768.56 ","  4,044.50 ","  4,901.16 ","  5,265.36 ","  6,144.65 ","  6,611.44 ","  7,010.03 ","  2,223.31 ",  763.77 ,"  4,551.24 "
,,,,ชาวไทย,"  1,008.51 ","  1,735.50 ","  1,928.87 ","  2,120.14 ","  2,538.61 ","  2,750.71 ","  3,189.49 ","  3,426.32 ","  3,586.15 ","  1,459.43 ",  665.04 ,"  3,072.63 "
,,,,ชาวต่างประเทศ,"  1,255.19 ","  1,716.16 ","  1,839.69 ","  1,924.36 ","  2,362.55 ","  2,514.65 ","  2,955.16 ","  3,185.12 ","  3,423.88 ",  763.88 ,  98.73 ,"  1,478.61 "
,นนทบุรี,จำนวนผู้เยี่ยมเยือน,รวม,รวม,"  2,004,376 ","  1,663,990 ","  1,700,408 ","  1,730,885 ","  2,045,867 ","  2,090,095 ","  2,514,677 ","  2,664,025 ","  2,806,779 ","  1,372,807 ","  606,591 ","  2,516,843 "
,,,,ชาวไทย,"  1,587,715 ","  1,529,913 ","  1,548,940 ","  1,583,985 ","  1,868,854 ","  1,908,389 ","  2,298,157 ","  2,433,547 ","  2,556,423 ","  1,331,709 ","  604,118 ","  2,437,196 "
,,,,ชาวต่างประเทศ,"  416,661 ","  134,077 ","  151,468 ","  146,900 ","  177,013 ","  181,706 ","  216,520 ","  230,478 ","  250,356 ","  41,098 ","  2,473 ","  79,647 "
,,,จำนวนนักท่องเที่ยว,รวม,"  582,031 ","  645,293 ","  655,363 ","  661,218 ","  774,003 ","  784,043 ","  920,233 ","  962,260 ","  1,074,520 ","  445,676 ","  169,514 ","  844,639 "
,,,,ชาวไทย,"  524,065 ","  582,205 ","  581,089 ","  590,415 ","  688,613 ","  697,138 ","  816,594 ","  852,357 ","  947,332 ","  417,557 ","  168,453 ","  810,411 "
,,,,ชาวต่างประเทศ,"  57,966 ","  63,088 ","  74,274 ","  70,803 ","  85,390 ","  86,905 ","  103,639 ","  109,903 ","  127,188 ","  28,119 ","  1,061 ","  34,228 "
,,,จำนวนนักทัศนาจร,รวม,"  1,422,345 ","  1,018,697 ","  1,045,045 ","  1,069,667 ","  1,271,864 ","  1,306,052 ","  1,594,444 ","  1,701,765 ","  1,732,259 ","  927,131 ","  437,077 ","  1,672,204 "
,,,,ชาวไทย,"  1,063,650 ","  947,708 ","  967,851 ","  993,570 ","  1,180,241 ","  1,211,251 ","  1,481,563 ","  1,581,190 ","  1,609,091 ","  914,152 ","  435,665 ","  1,626,785 "
,,,,ชาวต่างประเทศ,"  358,695 ","  70,989 ","  77,194 ","  76,097 ","  91,623 ","  94,801 ","  112,881 ","  120,575 ","  123,168 ","  12,979 ","  1,412 ","  45,419 "
,,รายได้การท่องเที่ยว (ล้านบาท),ผู้เยี่ยมเยือน,รวม,"  2,159.19 ","  2,425.62 ","  2,503.18 ","  2,560.31 ","  3,037.15 ","  3,177.98 ","  3,963.09 ","  4,356.97 ","  4,656.42 ","  1,966.63 ",  772.24 ,"  3,699.21 "
,,,,ชาวไทย,"  1,706.02 ","  2,165.00 ","  2,189.27 ","  2,246.53 ","  2,659.80 ","  2,783.80 ","  3,464.98 ","  3,807.97 ","  4,026.11 ","  1,824.49 ",  767.82 ,"  3,525.93 "
,,,,ชาวต่างประเทศ,  453.17 ,  260.62 ,  313.91 ,  313.78 ,  377.35 ,  394.18 ,  498.11 ,  549.00 ,  630.31 ,  142.14 ,  4.42 ,  173.28 
,ปทุมธานี,จำนวนผู้เยี่ยมเยือน,รวม,รวม,"  1,086,433 ","  1,474,292 ","  1,553,170 ","  1,613,073 ","  1,815,389 ","  1,896,549 ","  2,014,281 ","  2,098,344 ","  2,124,911 ","  844,149 ","  459,895 ","  1,533,436 "
,,,,ชาวไทย,"  939,849 ","  1,007,276 ","  1,062,015 ","  1,117,845 ","  1,277,729 ","  1,346,680 ","  1,435,467 ","  1,498,155 ","  1,524,543 ","  767,551 ","  457,939 ","  1,494,213 "
,,,,ชาวต่างประเทศ,"  146,584 ","  467,016 ","  491,155 ","  495,228 ","  537,660 ","  549,869 ","  578,814 ","  600,189 ","  600,368 ","  76,598 ","  1,956 ","  39,223 "
,,,จำนวนนักท่องเที่ยว,รวม,"  282,455 ","  538,853 ","  545,713 ","  566,892 ","  623,438 ","  640,185 ","  665,744 ","  679,015 ","  701,741 ","  244,147 ","  127,350 ","  377,805 "
,,,,ชาวไทย,"  241,906 ","  358,859 ","  372,372 ","  391,062 ","  435,392 ","  450,193 ","  468,197 ","  479,068 ","  501,944 ","  216,162 ","  126,369 ","  364,138 "
,,,,ชาวต่างประเทศ,"  40,549 ","  179,994 ","  173,341 ","  175,830 ","  188,046 ","  189,992 ","  197,547 ","  199,947 ","  199,797 ","  27,985 ",  981 ,"  13,667 "
,,,จำนวนนักทัศนาจร,รวม,"  803,978 ","  935,439 ","  1,007,457 ","  1,046,181 ","  1,191,951 ","  1,256,364 ","  1,348,537 ","  1,419,329 ","  1,423,170 ","  600,002 ","  332,545 ","  1,155,631 "
,,,,ชาวไทย,"  697,943 ","  648,417 ","  689,643 ","  726,783 ","  842,337 ","  896,487 ","  967,270 ","  1,019,087 ","  1,022,599 ","  551,389 ","  331,570 ","  1,130,075 "
,,,,ชาวต่างประเทศ,"  106,035 ","  287,022 ","  317,814 ","  319,398 ","  349,614 ","  359,877 ","  381,267 ","  400,242 ","  400,571 ","  48,613 ",  975 ,"  25,556 "
,,รายได้การท่องเที่ยว (ล้านบาท),ผู้เยี่ยมเยือน,รวม,  996.73 ,"  1,979.86 ","  2,199.57 ","  2,323.12 ","  2,711.66 ","  2,876.04 ","  3,172.61 ","  3,391.23 ","  3,470.34 ","  1,096.60 ",  538.63 ,"  2,012.64 "
,,,,ชาวไทย,  810.09 ,"  1,171.01 ","  1,341.65 ","  1,422.37 ","  1,659.06 ","  1,780.69 ","  1,938.03 ","  2,066.11 ","  2,124.22 ",  958.78 ,  535.25 ,"  1,938.82 "
,,,,ชาวต่างประเทศ,  186.64 ,  808.85 ,  857.92 ,  900.75 ,"  1,052.60 ","  1,095.35 ","  1,234.58 ","  1,325.12 ","  1,346.12 ",  137.82 ,  3.38 ,  73.82 
,พระนครศรีอยุธยา,จำนวนผู้เยี่ยมเยือน,รวม,รวม,"  4,890,949 ","  6,066,545 ","  6,226,424 ","  6,698,561 ","  6,994,538 ","  7,216,514 ","  7,631,557 ","  8,349,613 ","  8,292,809 ","  3,492,630 ","  2,391,478 ","  7,933,558 "
,,,,ชาวไทย,"  3,967,499 ","  4,490,161 ","  4,569,785 ","  4,902,774 ","  5,189,040 ","  5,365,586 ","  5,683,569 ","  6,302,621 ","  6,183,177 ","  3,242,608 ","  2,377,908 ","  7,607,278 "
,,,,ชาวต่างประเทศ,"  923,450 ","  1,576,384 ","  1,656,639 ","  1,795,787 ","  1,805,498 ","  1,850,928 ","  1,947,988 ","  2,046,992 ","  2,109,632 ","  250,022 ","  13,570 ","  326,280 "
